provinsi,jumlah
DKI Jakarta,207
Jawa Barat,171
Jawa Tengah,109
Sulawesi Selatan,67
Sumatera Utara,55
DI Yogyakarta,44
Jawa Timur,40
Banten,28
Nusa Tenggara Barat,25
Bali,24
Sumatera Barat,19
Sulawesi Tengah,16
Riau,16
Sulawesi Utara,14
Kalimantan Selatan,14
Kalimantan Tengah,14
Kepulauan Riau,14
Kepulauan Bangka Belitung,13
Sumatera Selatan,12
Jambi,10
Kalimantan Timur,8
Kalimantan Barat,8
Nusa Tenggara Timur,8
Papua,6
Sulawesi Tenggara,6
Lampung,6
Bengkulu,6
Papua Barat,3
Maluku,3
Aceh,3
